coefficients_objectif,matrice_contraintes,borne_contraintes,solution,z_optimal
"[59, 69]","[81, 38, 24, 98, 50, 49]","[32, 60, 90]","[0.1, 0.6]",47
"[52, 70]","[64, 19, 67, 93, 60, 19]","[33, 30, 144]","[0.4, 0.0]",23
"[70, 100]","[30, 93, 98, 27, 34, 89]","[57, 4, 148]","[0.0, 0.1]",15
"[74, 27]","[84, 39, 45, 2, 75, 91]","[111, 61, 107]","[1.3, 0.0]",98
"[20, 26]","[86, 41, 66, 64, 60, 18]","[18, 114, 131]","[0.0, 0.4]",11
"[7, 30]","[8, 90, 89, 24, 43, 22]","[87, 1, 103]","[0.0, 0.0]",1
"[86, 45]","[38, 80, 96, 94, 57, 52]","[51, 55, 121]","[0.6, 0.0]",49
"[59, 55]","[81, 2, 4, 61, 41, 32]","[44, 23, 23]","[0.3, 0.4]",36
"[93, 68]","[79, 3, 98, 55, 60, 29]","[125, 75, 2]","[0.0, 0.1]",5
"[93, 76]","[96, 48, 76, 32, 2, 89]","[35, 113, 115]","[0.0, 0.7]",55
"[10, 82]","[46, 2, 58, 86, 30, 42]","[98, 72, 112]","[0.0, 0.8]",69
"[85, 43]","[15, 11, 66, 39, 90, 72]","[150, 20, 106]","[0.3, 0.0]",26
"[87, 56]","[58, 88, 98, 93, 52, 94]","[105, 143, 82]","[1.5, 0.0]",127
"[36, 40]","[59, 86, 25, 15, 98, 31]","[105, 57, 147]","[1.4, 0.2]",61
"[2, 18]","[67, 30, 3, 71, 62, 86]","[48, 53, 103]","[0.4, 0.7]",14
"[72, 52]","[36, 2, 42, 57, 55, 86]","[118, 103, 143]","[2.5, 0.0]",177
"[20, 59]","[30, 61, 53, 32, 76, 76]","[66, 86, 122]","[0.0, 1.1]",64
"[44, 44]","[83, 87, 15, 73, 2, 24]","[74, 10, 64]","[0.7, 0.0]",29
"[79, 61]","[55, 18, 40, 85, 2, 69]","[111, 128, 94]","[1.8, 0.7]",183
"[87, 8]","[25, 31, 85, 90, 60, 74]","[112, 107, 102]","[1.3, 0.0]",110
"[59, 15]","[42, 64, 13, 27, 8, 29]","[59, 1, 102]","[0.1, 0.0]",5
"[63, 33]","[77, 15, 49, 83, 50, 96]","[68, 46, 10]","[0.2, 0.0]",13
"[91, 100]","[37, 2, 10, 85, 2, 63]","[87, 62, 13]","[2.3, 0.1]",227
"[19, 64]","[73, 74, 43, 14, 21, 22]","[140, 43, 101]","[0.0, 1.9]",121
"[12, 42]","[57, 19, 94, 50, 53, 82]","[62, 28, 68]","[0.0, 0.6]",24
"[48, 11]","[14, 74, 67, 1, 45, 78]","[119, 128, 46]","[1.0, 0.0]",49
"[16, 88]","[99, 48, 40, 16, 57, 34]","[1, 42, 71]","[0.0, 0.0]",2
"[10, 1]","[69, 45, 90, 99, 68, 84]","[77, 52, 61]","[0.6, 0.0]",6
"[39, 3]","[30, 67, 60, 16, 32, 43]","[3, 46, 113]","[0.1, 0.0]",4
"[71, 11]","[36, 55, 93, 86, 17, 53]","[77, 96, 60]","[1.0, 0.0]",73
"[42, 92]","[36, 19, 32, 67, 95, 65]","[29, 38, 12]","[0.0, 0.2]",17
"[26, 17]","[8, 2, 84, 100, 29, 87]","[25, 143, 61]","[1.7, 0.0]",44
"[89, 3]","[100, 64, 44, 40, 96, 55]","[128, 91, 67]","[0.7, 0.0]",62
"[75, 88]","[72, 81, 97, 42, 69, 32]","[127, 42, 94]","[0.0, 1.0]",88
"[46, 21]","[78, 83, 61, 16, 73, 66]","[77, 123, 131]","[1.0, 0.0]",45
"[94, 36]","[20, 25, 63, 100, 10, 73]","[27, 68, 146]","[1.1, 0.0]",101
"[76, 13]","[22, 25, 99, 71, 82, 3]","[91, 97, 111]","[1.0, 0.0]",74
"[100, 97]","[63, 47, 99, 57, 33, 96]","[127, 150, 136]","[0.9, 1.1]",196
"[19, 29]","[87, 46, 16, 90, 51, 75]","[110, 94, 104]","[0.7, 0.9]",40
"[79, 24]","[4, 53, 81, 48, 26, 45]","[123, 121, 109]","[1.5, 0.0]",118
"[47, 17]","[3, 29, 83, 18, 38, 85]","[116, 105, 71]","[1.2, 0.3]",61
"[85, 58]","[48, 91, 67, 58, 48, 92]","[53, 69, 6]","[0.1, 0.0]",11
"[17, 56]","[37, 86, 96, 12, 59, 65]","[104, 66, 2]","[0.0, 0.0]",2
"[100, 16]","[93, 76, 55, 97, 58, 64]","[106, 6, 120]","[0.1, 0.0]",11
"[95, 38]","[81, 42, 31, 20, 49, 55]","[140, 97, 78]","[1.6, 0.0]",151
"[11, 54]","[33, 39, 35, 8, 14, 73]","[115, 122, 101]","[2.4, 0.9]",76
"[92, 53]","[98, 4, 44, 32, 55, 31]","[38, 45, 89]","[0.3, 0.9]",81
"[56, 6]","[33, 30, 50, 98, 34, 94]","[63, 21, 42]","[0.4, 0.0]",24
"[38, 72]","[70, 60, 95, 71, 57, 34]","[58, 97, 127]","[0.0, 1.0]",70
"[49, 22]","[44, 91, 98, 96, 19, 2]","[30, 34, 50]","[0.3, 0.0]",17
"[93, 94]","[61, 43, 19, 91, 92, 65]","[137, 8, 117]","[0.4, 0.0]",39
"[54, 81]","[63, 42, 28, 49, 55, 25]","[37, 89, 41]","[0.0, 0.9]",71
"[42, 66]","[65, 34, 96, 42, 20, 47]","[41, 142, 150]","[0.0, 1.2]",80
"[40, 11]","[68, 21, 53, 79, 44, 2]","[81, 92, 142]","[1.2, 0.0]",48
"[73, 27]","[94, 38, 87, 88, 87, 18]","[91, 56, 72]","[0.6, 0.0]",47
"[34, 50]","[91, 9, 57, 79, 46, 27]","[27, 18, 24]","[0.0, 0.2]",11
"[93, 8]","[15, 17, 90, 21, 15, 47]","[81, 52, 114]","[0.6, 0.0]",54
"[43, 74]","[30, 85, 78, 39, 5, 55]","[36, 145, 89]","[1.2, 0.0]",52
"[7, 86]","[26, 92, 59, 4, 26, 100]","[86, 116, 6]","[0.0, 0.1]",5
"[69, 96]","[77, 92, 20, 4, 36, 15]","[46, 19, 4]","[0.0, 0.3]",26
"[58, 40]","[22, 1, 76, 19, 9, 12]","[113, 39, 131]","[0.0, 2.1]",82
"[28, 4]","[64, 98, 9, 46, 62, 65]","[144, 31, 45]","[0.7, 0.0]",20
"[9, 26]","[81, 38, 74, 80, 27, 23]","[39, 33, 88]","[0.0, 0.4]",11
"[43, 53]","[24, 36, 19, 31, 10, 25]","[84, 85, 24]","[2.4, 0.0]",103
"[77, 83]","[78, 27, 56, 86, 73, 40]","[43, 136, 130]","[0.0, 1.6]",131
"[36, 98]","[31, 14, 65, 96, 36, 46]","[55, 145, 7]","[0.0, 0.2]",15
"[10, 100]","[64, 85, 20, 69, 95, 8]","[28, 90, 23]","[0.0, 0.3]",33
"[84, 42]","[35, 96, 65, 49, 15, 49]","[113, 130, 37]","[2.0, 0.0]",168
"[31, 30]","[89, 6, 25, 87, 81, 76]","[88, 33, 126]","[1.0, 0.1]",33
"[1, 14]","[70, 86, 75, 1, 80, 89]","[30, 26, 134]","[0.0, 0.3]",5
"[35, 29]","[80, 35, 87, 73, 64, 13]","[120, 18, 58]","[0.2, 0.0]",7
"[58, 73]","[73, 61, 13, 5, 67, 4]","[45, 108, 79]","[0.0, 0.7]",54
"[43, 2]","[73, 80, 6, 2, 4, 67]","[69, 91, 19]","[0.9, 0.0]",41
"[12, 99]","[36, 58, 10, 17, 23, 17]","[8, 136, 63]","[0.0, 0.1]",14
"[80, 51]","[26, 78, 15, 86, 99, 69]","[101, 4, 9]","[0.1, 0.0]",7
"[5, 76]","[95, 75, 94, 30, 67, 10]","[132, 131, 21]","[0.0, 1.8]",134
"[14, 92]","[49, 79, 94, 100, 80, 38]","[86, 72, 108]","[0.0, 0.7]",66
"[58, 38]","[41, 76, 54, 69, 15, 24]","[67, 22, 145]","[0.4, 0.0]",24
"[8, 48]","[40, 5, 69, 66, 41, 8]","[1, 65, 44]","[0.0, 0.2]",10
"[18, 96]","[35, 42, 69, 72, 89, 15]","[52, 10, 99]","[0.0, 0.1]",13
"[28, 97]","[82, 77, 99, 58, 30, 2]","[59, 63, 71]","[0.0, 0.8]",74
"[18, 78]","[46, 32, 9, 76, 23, 34]","[7, 103, 131]","[0.0, 0.2]",17
"[61, 69]","[89, 42, 53, 81, 79, 60]","[26, 19, 13]","[0.0, 0.2]",15
"[91, 10]","[47, 4, 61, 89, 60, 58]","[120, 14, 63]","[0.2, 0.0]",21
"[38, 66]","[80, 29, 40, 57, 26, 96]","[140, 82, 94]","[1.1, 0.7]",86
"[92, 83]","[77, 67, 34, 96, 17, 15]","[64, 7, 54]","[0.2, 0.0]",19
"[95, 96]","[1, 74, 98, 64, 68, 73]","[74, 43, 150]","[0.0, 0.7]",64
"[77, 58]","[83, 15, 49, 52, 22, 99]","[56, 50, 78]","[0.6, 0.4]",69
"[87, 45]","[40, 51, 47, 70, 93, 25]","[100, 107, 31]","[0.0, 1.2]",56
"[13, 50]","[63, 96, 55, 91, 80, 45]","[67, 146, 119]","[0.0, 0.7]",35
"[97, 72]","[38, 83, 33, 9, 7, 4]","[68, 2, 102]","[0.0, 0.2]",16
"[19, 53]","[63, 97, 11, 59, 14, 34]","[140, 148, 145]","[0.0, 1.4]",76
"[97, 13]","[12, 43, 72, 24, 82, 45]","[101, 135, 119]","[1.5, 0.0]",141
"[43, 73]","[72, 95, 80, 48, 1, 31]","[53, 59, 73]","[0.0, 0.6]",41
"[72, 25]","[43, 37, 93, 64, 55, 27]","[44, 57, 20]","[0.4, 0.0]",26
"[69, 99]","[83, 79, 57, 82, 86, 55]","[107, 77, 67]","[0.3, 0.7]",93
"[50, 53]","[17, 91, 49, 50, 82, 20]","[11, 65, 119]","[0.6, 0.0]",32
"[91, 62]","[42, 85, 84, 40, 10, 70]","[133, 66, 56]","[0.4, 0.7]",85
"[46, 46]","[37, 93, 79, 36, 22, 60]","[66, 85, 69]","[0.9, 0.3]",58
"[3, 2]","[49, 50, 23, 49, 20, 6]","[106, 143, 148]","[2.2, 0.0]",6
"[11, 7]","[76, 92, 67, 17, 90, 87]","[72, 93, 90]","[0.9, 0.0]",10
"[97, 40]","[95, 92, 77, 56, 67, 2]","[143, 85, 128]","[1.1, 0.0]",107
"[18, 99]","[47, 17, 100, 24, 61, 100]","[88, 128, 96]","[0.0, 1.0]",95
"[71, 73]","[96, 67, 66, 64, 72, 39]","[19, 112, 53]","[0.0, 0.3]",21
"[21, 47]","[81, 79, 80, 58, 26, 75]","[74, 74, 70]","[0.0, 0.9]",44
"[11, 20]","[37, 29, 63, 48, 61, 88]","[52, 58, 74]","[0.0, 0.8]",17
"[94, 34]","[60, 68, 29, 21, 24, 35]","[35, 116, 4]","[0.2, 0.0]",16
"[87, 70]","[36, 44, 52, 98, 48, 22]","[109, 18, 26]","[0.3, 0.0]",30
"[75, 36]","[56, 87, 31, 40, 72, 61]","[100, 52, 44]","[0.6, 0.0]",46
"[6, 53]","[52, 45, 87, 36, 29, 47]","[140, 116, 45]","[0.0, 1.0]",51
"[44, 79]","[72, 66, 20, 20, 11, 60]","[70, 103, 17]","[0.9, 0.1]",48
"[45, 27]","[88, 19, 82, 83, 41, 12]","[26, 108, 6]","[0.0, 0.5]",14
"[20, 41]","[58, 34, 23, 45, 37, 20]","[146, 9, 138]","[0.0, 0.2]",8
"[38, 79]","[60, 16, 40, 58, 52, 39]","[65, 103, 128]","[0.0, 1.8]",140
"[33, 54]","[45, 37, 30, 56, 55, 3]","[135, 140, 16]","[0.2, 2.4]",136
"[72, 52]","[98, 89, 53, 16, 53, 60]","[66, 93, 24]","[0.5, 0.0]",33
"[32, 45]","[77, 15, 4, 40, 12, 8]","[22, 83, 89]","[0.0, 1.5]",66
"[6, 60]","[78, 43, 29, 13, 69, 89]","[109, 138, 92]","[0.0, 1.0]",62
"[12, 74]","[41, 91, 1, 97, 21, 17]","[100, 118, 89]","[0.0, 1.1]",81
"[59, 23]","[70, 86, 88, 12, 75, 89]","[108, 6, 83]","[0.0, 0.5]",12
"[42, 9]","[46, 22, 40, 86, 51, 90]","[21, 90, 63]","[0.5, 0.0]",19
"[7, 56]","[1, 91, 90, 53, 68, 28]","[16, 19, 144]","[0.1, 0.2]",11
"[89, 47]","[7, 66, 62, 42, 47, 95]","[61, 74, 75]","[1.2, 0.0]",106
"[31, 74]","[64, 57, 92, 59, 68, 19]","[56, 134, 144]","[0.0, 1.0]",73
"[74, 49]","[65, 98, 27, 74, 26, 30]","[33, 5, 31]","[0.2, 0.0]",14
"[92, 6]","[51, 4, 49, 28, 82, 14]","[76, 53, 150]","[1.1, 0.0]",100
"[2, 15]","[14, 35, 21, 67, 59, 34]","[86, 11, 40]","[0.0, 0.2]",2
"[21, 5]","[15, 55, 75, 62, 59, 85]","[142, 57, 7]","[0.1, 0.0]",2
"[67, 6]","[43, 43, 81, 1, 78, 55]","[93, 103, 57]","[0.7, 0.0]",49
"[99, 81]","[63, 41, 45, 76, 44, 8]","[104, 22, 105]","[0.5, 0.0]",48
"[90, 79]","[95, 9, 5, 10, 16, 31]","[17, 140, 6]","[0.2, 0.1]",24
"[60, 20]","[76, 2, 28, 5, 13, 23]","[27, 74, 22]","[0.3, 0.8]",35
"[39, 12]","[5, 95, 84, 53, 13, 17]","[125, 27, 6]","[0.3, 0.0]",13
"[98, 9]","[100, 40, 67, 92, 70, 39]","[119, 2, 3]","[0.0, 0.0]",3
"[64, 53]","[74, 80, 44, 13, 19, 97]","[106, 94, 101]","[1.4, 0.0]",92
"[45, 68]","[81, 77, 80, 20, 77, 56]","[108, 134, 117]","[0.0, 1.4]",95
"[96, 84]","[67, 27, 55, 63, 14, 33]","[39, 81, 112]","[0.1, 1.2]",110
"[9, 36]","[95, 40, 33, 76, 54, 3]","[127, 27, 146]","[0.0, 0.4]",13
"[22, 53]","[51, 33, 62, 62, 11, 80]","[105, 12, 115]","[0.0, 0.2]",10
"[19, 32]","[64, 80, 51, 8, 61, 27]","[14, 83, 83]","[0.0, 0.2]",6
"[17, 16]","[91, 43, 61, 54, 9, 30]","[53, 36, 146]","[0.0, 0.7]",11
"[37, 98]","[15, 51, 18, 98, 7, 14]","[70, 38, 8]","[0.6, 0.3]",49
"[86, 7]","[2, 63, 58, 52, 87, 29]","[65, 16, 142]","[0.3, 0.0]",24
"[65, 76]","[14, 49, 84, 79, 15, 5]","[30, 147, 66]","[1.6, 0.2]",116
"[16, 88]","[71, 82, 5, 36, 64, 75]","[21, 103, 29]","[0.0, 0.3]",23
"[85, 12]","[43, 5, 6, 47, 19, 77]","[101, 21, 97]","[2.3, 0.1]",200
"[34, 18]","[47, 30, 79, 60, 33, 1]","[127, 62, 57]","[0.8, 0.0]",27
"[50, 23]","[6, 57, 15, 28, 16, 20]","[32, 104, 80]","[5.0, 0.0]",250
"[16, 71]","[76, 8, 64, 59, 48, 31]","[23, 7, 135]","[0.0, 0.1]",8
"[34, 28]","[39, 29, 100, 79, 17, 76]","[149, 19, 13]","[0.1, 0.2]",7
"[11, 17]","[79, 92, 5, 57, 68, 12]","[118, 83, 103]","[0.0, 1.3]",22
"[58, 67]","[50, 83, 7, 76, 40, 82]","[106, 133, 17]","[0.4, 0.0]",25
"[71, 45]","[66, 55, 56, 60, 54, 44]","[18, 67, 11]","[0.2, 0.0]",14
"[72, 26]","[34, 36, 79, 58, 99, 100]","[54, 22, 68]","[0.3, 0.0]",20
"[73, 61]","[88, 45, 14, 47, 100, 42]","[11, 33, 39]","[0.0, 0.2]",15
"[97, 91]","[29, 73, 61, 15, 86, 50]","[39, 51, 50]","[0.4, 0.4]",70
"[71, 39]","[95, 25, 58, 8, 94, 65]","[115, 58, 46]","[0.5, 0.0]",35
"[86, 80]","[43, 56, 28, 89, 6, 59]","[124, 71, 8]","[1.3, 0.0]",115
"[49, 16]","[71, 72, 76, 80, 91, 1]","[117, 126, 47]","[0.5, 1.1]",42
"[9, 70]","[19, 84, 97, 53, 8, 75]","[77, 59, 48]","[0.3, 0.6]",45
"[1, 24]","[98, 23, 72, 33, 89, 26]","[87, 30, 125]","[0.0, 0.9]",22
"[33, 71]","[99, 96, 32, 58, 66, 66]","[23, 9, 36]","[0.0, 0.2]",11
"[51, 15]","[85, 70, 69, 38, 4, 35]","[72, 94, 1]","[0.2, 0.0]",13
"[40, 22]","[83, 95, 53, 41, 79, 29]","[88, 76, 103]","[1.1, 0.0]",42
"[26, 66]","[100, 77, 76, 71, 1, 14]","[2, 83, 89]","[0.0, 0.0]",2
"[25, 10]","[97, 8, 1, 7, 26, 100]","[76, 150, 103]","[0.7, 0.8]",26
"[85, 79]","[62, 54, 78, 70, 76, 85]","[130, 79, 87]","[0.5, 0.6]",88
"[41, 56]","[77, 26, 2, 19, 56, 5]","[92, 25, 92]","[0.8, 1.2]",101
"[88, 63]","[71, 67, 36, 17, 4, 51]","[11, 106, 67]","[0.2, 0.0]",14
"[65, 60]","[93, 73, 93, 15, 36, 42]","[92, 137, 48]","[0.3, 0.9]",72
"[76, 51]","[54, 94, 37, 32, 52, 11]","[119, 110, 113]","[2.2, 0.0]",166
"[91, 69]","[34, 89, 68, 49, 21, 87]","[94, 79, 142]","[0.6, 0.8]",109
"[20, 55]","[35, 8, 43, 94, 38, 24]","[131, 8, 125]","[0.0, 0.1]",5
"[55, 39]","[48, 25, 35, 16, 47, 46]","[42, 98, 88]","[0.0, 1.7]",66
"[47, 28]","[4, 25, 22, 30, 23, 94]","[8, 118, 88]","[2.0, 0.0]",94
"[17, 32]","[67, 51, 41, 30, 72, 43]","[19, 83, 70]","[0.0, 0.4]",12
"[80, 53]","[22, 46, 54, 35, 65, 49]","[30, 67, 148]","[1.2, 0.1]",99
"[17, 82]","[82, 9, 5, 35, 26, 89]","[69, 57, 103]","[0.0, 1.2]",95
